tank,week,meanhosts,pred,para
1,1,6,0.1,metsch
1,5,20,0.1,metsch
1,8,0,0.1,metsch
2,1,5,0.1,no metsch
2,5,20,0.1,no metsch
2,8,14,0.1,no metsch
3,1,9,0.1,no metsch
3,5,7,0.1,no metsch
3,8,7,0.1,no metsch
4,1,11,1,no metsch
4,5,3,1,no metsch
4,8,7,1,no metsch
5,1,2,1,no metsch
5,5,20,1,no metsch
5,8,18,1,no metsch
6,1,9,1,no metsch
6,5,5,1,no metsch
6,8,12,1,no metsch
7,1,6,0,metsch
7,5,20,0,metsch
7,8,7,0,metsch
8,1,12,0,metsch
8,5,20,0,metsch
8,8,2,0,metsch
9,1,4,0,metsch
9,5,8,0,metsch
9,8,3,0,metsch
10,1,12,1,metsch
10,5,0,1,metsch
10,8,0,1,metsch
11,1,1,1,metsch
11,5,0,1,metsch
11,8,0,1,metsch
12,1,5,1,metsch
12,5,0,1,metsch
12,8,0,1,metsch
13,1,9,0,no metsch
13,5,20,0,no metsch
13,8,9,0,no metsch
14,1,10,0,no metsch
14,5,20,0,no metsch
14,8,10,0,no metsch
15,1,2,0,no metsch
15,5,20,0,no metsch
15,8,7,0,no metsch
16,1,12,0.5,metsch
16,5,17,0.5,metsch
16,8,20,0.5,metsch
17,1,1,0.5,metsch
17,5,15,0.5,metsch
17,8,20,0.5,metsch
18,1,8,0.5,metsch
18,5,14,0.5,metsch
18,8,20,0.5,metsch
19,1,2,0.5,no metsch
19,5,10,0.5,no metsch
19,8,20,0.5,no metsch
20,1,8,0.5,no metsch
20,5,20,0.5,no metsch
20,8,20,0.5,no metsch
21,1,8,0.5,no metsch
21,5,20,0.5,no metsch
21,8,20,0.5,no metsch
23,1,6,0.1,metsch
23,5,20,0.1,metsch
23,8,20,0.1,metsch
24,1,7,0.1,metsch
24,5,17,0.1,metsch
24,8,20,0.1,metsch
27,1,1,0.5,no metsch
27,5,7,0.5,no metsch
27,8,16,0.5,no metsch
28,1,12,0.5,no metsch
28,5,20,0.5,no metsch
28,8,19,0.5,no metsch
29,1,11,0.5,no metsch
29,5,11,0.5,no metsch
29,8,20,0.5,no metsch
30,1,8,0.1,metsch
30,5,20,0.1,metsch
30,8,20,0.1,metsch
31,1,10,0.1,metsch
31,5,20,0.1,metsch
31,8,20,0.1,metsch
32,1,4,0.1,metsch
32,5,5,0.1,metsch
32,8,16,0.1,metsch
35,1,12,0,no metsch
35,5,20,0,no metsch
35,8,20,0,no metsch
36,1,9,0,no metsch
36,5,20,0,no metsch
36,8,3,0,no metsch
37,1,16,0,no metsch
37,5,20,0,no metsch
37,8,14,0,no metsch
38,1,7,0.5,metsch
38,5,20,0.5,metsch
38,8,20,0.5,metsch
39,1,3,0.5,metsch
39,5,20,0.5,metsch
39,8,20,0.5,metsch
40,1,4,0.5,metsch
40,5,20,0.5,metsch
40,8,20,0.5,metsch
41,1,3,1,no metsch
41,5,0,1,no metsch
41,8,12,1,no metsch
42,1,6,1,no metsch
42,5,0,1,no metsch
42,8,0,1,no metsch
43,1,1,1,no metsch
43,5,0,1,no metsch
43,8,2,1,no metsch
44,1,2,0,metsch
44,5,8,0,metsch
44,8,10,0,metsch
45,1,0,0,metsch
45,5,14,0,metsch
45,8,20,0,metsch
46,1,6,0,metsch
46,5,20,0,metsch
46,8,20,0,metsch
47,1,2,0.1,no metsch
47,5,11,0.1,no metsch
47,8,16,0.1,no metsch
48,1,7,0.1,no metsch
48,5,2,0.1,no metsch
48,8,8,0.1,no metsch
49,1,6,0.1,no metsch
49,5,17,0.1,no metsch
49,8,8,0.1,no metsch
50,1,2,1,metsch
50,5,5,1,metsch
50,8,20,1,metsch
51,1,0,1,metsch
51,5,0,1,metsch
51,8,4,1,metsch
52,1,0,1,metsch
52,5,15,1,metsch
52,8,19,1,metsch