pred,para,week,meanhosts,adjweek
0,metsch,1,5,2
0,metsch,5,15,6
0,metsch,8,10.33333333,9
0,no metsch,1,9.666666667,2
0,no metsch,5,20,6
0,no metsch,8,10.5,9
0.1,metsch,1,6.833333333,2
0.1,metsch,5,17,6
0.1,metsch,8,16,9
0.1,no metsch,1,5.8,2
0.1,no metsch,5,11.4,6
0.1,no metsch,8,10.6,9
0.5,metsch,1,5.833333333,2
0.5,metsch,5,17.66666667,6
0.5,metsch,8,20,9
0.5,no metsch,1,7,2
0.5,no metsch,5,14.66666667,6
0.5,no metsch,8,19.16666667,9
1,metsch,1,3.333333333,2
1,metsch,5,3.333333333,6
1,metsch,8,7.166666667,9
1,no metsch,1,5.333333333,2
1,no metsch,5,4.666666667,6
1,no metsch,8,8.5,9