Parasites,predation,tank,week,Day,no.hosts.sampled,BD05.42,BD08.46,BD19.64,CB24.68,DW22.58,DW29.75,IL14.43,ML30.82,ML32.84
1,0.1,1,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,0.1,1,1,182,6,0,0.5,0,0.166666667,0,0,0.333333333,0,0
1,0.1,1,5,210,20,0,0,0,0,0,0,0,0.85,0.15
0,0.1,2,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,0.1,2,1,182,5,0,0,0,0.4,0.2,0,0.2,0.2,0
0,0.1,2,5,210,20,0,0.05,0,0,0,0,0,0.5,0.45
0,0.1,2,8,231,14,0,0,0,0.076923077,0,0,0,0.538461538,0.384615385
0,0.1,3,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,0.1,3,1,182,9,0,0.111111111,0,0.111111111,0.222222222,0.333333333,0.222222222,0,0
0,0.1,3,5,210,7,0,0.285714286,0,0,0,0,0,0.571428571,0.142857143
0,0.1,3,8,231,7,0,0.166666667,0,0,0,0,0,0.833333333,0
0,1,4,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,1,4,1,182,11,0,0.090909091,0,0.272727273,0,0.090909091,0.454545455,0,0.090909091
0,1,4,5,210,3,0,0.666666667,0,0,0,0,0,0,0.333333333
0,1,4,8,231,7,0,0.714285714,0,0,0,0,0,0.142857143,0.142857143
0,1,5,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,1,5,1,182,2,0,0,0,0,0,1,0,0,0
0,1,5,5,210,20,0,0.210526316,0,0,0,0,0,0.631578947,0.157894737
0,1,5,8,231,18,0,0.277777778,0,0,0,0,0,0.611111111,0.111111111
0,1,6,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,1,6,1,182,9,0,0.222222222,0,0.111111111,0,0.111111111,0.555555556,0,0
0,1,6,5,210,5,0,0.8,0,0.2,0,0,0,0,0
0,1,6,8,231,12,0,0.833333333,0,0.083333333,0,0,0,0.083333333,0
1,0,7,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,0,7,1,182,6,0,0.833333333,0,0,0,0.166666667,0,0,0
1,0,7,5,210,20,0,0.1,0,0,0,0,0,0.6,0.3
1,0,7,8,231,7,0,0,0.142857143,0,0,0,0,0.714285714,0.142857143
1,0,8,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,0,8,1,182,12,0,0.083333333,0,0.166666667,0.083333333,0.25,0.333333333,0,0.083333333
1,0,8,5,210,20,0,0,0,0.1,0,0,0,0.5,0.4
1,0,8,8,231,2,0,0,0,0,0,0,0,1,0
1,0,9,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,0,9,1,182,4,0,0.25,0,0,0,0,0.25,0.25,0.25
1,0,9,5,210,8,0,0,0,0,0,0,0,0.75,0.25
1,0,9,8,231,3,0,0,0,0,0,0,0,0,1
1,1,10,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,1,10,1,182,12,0,0,0.083333333,0.083333333,0,0,0.666666667,0,0.166666667
1,1,11,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,1,11,1,182,1,0,0,0,0,0,0,0,1,0
1,1,12,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,1,12,1,182,5,0,0.2,0,0,0,0.2,0.2,0,0.4
0,0,13,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,0,13,1,182,9,0,0.333333333,0,0,0,0.222222222,0.444444444,0,0
0,0,13,5,210,20,0,0,0,0.1,0,0.05,0,0.45,0.4
0,0,13,8,231,9,0,0,0,0.111111111,0,0,0,0.555555556,0.333333333
0,0,14,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,0,14,1,182,10,0,0.3,0.1,0.1,0.2,0,0.2,0.1,0
0,0,14,5,210,20,0.05,0,0,0,0,0,0.05,0.7,0.2
0,0,14,8,231,10,0,0,0,0,0,0,0,0.8,0.2
0,0,15,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,0,15,1,182,2,0,0.5,0,0,0,0.5,0,0,0
0,0,15,5,210,20,0,0,0,0,0,0,0,1,0
0,0,15,8,231,7,0,0,0,0,0,0,0,1,0
1,0.5,16,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,0.5,16,1,182,12,0,0.25,0,0,0.083333333,0.166666667,0.416666667,0,0.083333333
1,0.5,16,5,210,17,0,0.411764706,0,0.058823529,0,0,0,0.352941176,0.176470588
1,0.5,16,8,231,20,0,0,0.047619048,0,0,0,0,0.714285714,0.238095238
1,0.5,17,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,0.5,17,1,182,1,0,0,0,0,0,1,0,0,0
1,0.5,17,5,210,15,0,0.066666667,0,0,0,0,0.066666667,0.533333333,0.333333333
1,0.5,17,8,231,20,0,0,0,0,0,0,0,0.85,0.15
1,0.5,18,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,0.5,18,1,182,8,0,0.125,0,0.25,0.25,0.125,0.25,0,0
1,0.5,18,5,210,14,0,0.071428571,0,0,0,0,0,0.928571429,0
1,0.5,18,8,231,20,0,0,0,0,0,0,0,0.9,0.1
0,0.5,19,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,0.5,19,1,182,2,0,0,0,0,0,0,0.5,0,0.5
0,0.5,19,5,210,10,0,0,0,0.1,0,0,0,0.8,0.1
0,0.5,19,8,231,20,0,0,0,0.8,0,0,0,0.1,0.1
0,0.5,20,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,0.5,20,1,182,8,0,0.375,0,0.125,0,0.25,0.25,0,0
0,0.5,20,5,210,20,0,0,0,0.052631579,0,0,0.052631579,0.894736842,0
0,0.5,20,8,231,20,0,0,0,0.05,0,0,0,0.9,0.05
0,0.5,21,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,0.5,21,1,182,8,0,0.25,0,0.25,0,0,0.125,0,0.375
0,0.5,21,5,210,20,0.05,0.35,0,0.2,0,0,0.1,0.15,0.15
0,0.5,21,8,231,20,0.05,0,0,0.35,0,0,0.1,0.35,0.15
0,0.1,22,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,0.1,22,1,182,11,0,0.090909091,0,0.454545455,0.090909091,0.090909091,0.181818182,0.090909091,0
0,0.1,22,5,210,20,0,0,0,0.55,0,0,0.05,0.2,0.2
0,0.1,22,8,231,14,0,0.142857143,0,0.428571429,0.071428571,0,0,0.285714286,0.071428571
1,0.1,23,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,0.1,23,1,182,6,0,0.166666667,0,0.333333333,0,0.166666667,0.166666667,0.166666667,0
1,0.1,23,5,210,20,0,0,0,0.1,0,0,0.05,0.55,0.3
1,0.1,23,8,231,20,0,0,0,0,0,0,0,0.8,0.2
1,0.1,24,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,0.1,24,1,182,7,0,0.285714286,0,0.285714286,0,0.142857143,0.142857143,0,0.142857143
1,0.1,24,5,210,17,0,0,0,0.352941176,0,0,0.058823529,0.352941176,0.235294118
1,0.1,24,8,231,20,0,0,0,0,0,0,0.05,0.7,0.25
0,0.5,27,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,0.5,27,1,185,1,0,0,0,0,0,0,0,0,1
0,0.5,27,5,213,7,0,0.285714286,0,0.142857143,0,0,0.142857143,0.142857143,0.285714286
0,0.5,27,8,234,16,0,0,0,0.1875,0,0,0,0.4375,0.375
0,0.5,28,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,0.5,28,1,185,12,0,0.083333333,0.166666667,0.083333333,0,0.083333333,0.5,0,0.083333333
0,0.5,28,5,213,20,0,0.111111111,0,0.277777778,0,0,0.055555556,0.055555556,0.5
0,0.5,28,8,234,19,0,0,0,0.55,0,0,0.1,0.05,0.3
0,0.5,29,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,0.5,29,1,185,11,0,0,0,0.181818182,0,0,0.272727273,0.090909091,0.454545455
0,0.5,29,5,213,11,0,0.636363636,0,0.090909091,0,0,0.090909091,0.090909091,0.090909091
0,0.5,29,8,234,20,0,0,0,0.210526316,0,0,0.052631579,0.157894737,0.578947368
1,0.1,30,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,0.1,30,1,185,8,0,0.125,0,0.125,0,0.125,0.375,0.125,0.125
1,0.1,30,5,213,20,0,0.263157895,0,0.052631579,0,0,0.052631579,0.263157895,0.368421053
1,0.1,30,8,234,20,0,0,0,0,0,0,0.1,0.45,0.45
1,0.1,31,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,0.1,31,1,185,10,0,0.3,0,0.1,0.1,0,0.3,0,0.2
1,0.1,31,5,213,20,0,0,0,0,0,0.05,0.1,0.45,0.4
1,0.1,31,8,234,20,0,0,0,0,0,0,0,0.9,0.1
1,0.1,32,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,0.1,32,1,185,4,0,0.25,0,0,0,0,0.25,0,0.5
1,0.1,32,5,213,5,0,0,0,0.4,0,0,0,0.6,0
1,0.1,32,8,234,16,0,0.0625,0,0.0625,0,0,0,0.8125,0.0625
0,0,35,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,0,35,1,185,12,0,0,0.25,0.083333333,0,0.25,0.25,0.083333333,0.083333333
0,0,35,5,213,20,0,0.105263158,0,0.526315789,0,0,0.105263158,0.105263158,0.157894737
0,0,35,8,234,20,0,0,0,0.2,0,0,0.1,0.3,0.4
0,0,36,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,0,36,1,185,9,0,0.111111111,0,0.111111111,0,0.222222222,0.111111111,0,0.444444444
0,0,36,5,213,20,0,0,0,0.368421053,0,0,0.052631579,0.263157895,0.315789474
0,0,36,8,234,3,0,0,0,0.333333333,0,0,0,0.666666667,0
0,0,37,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,0,37,1,185,16,0,0.125,0.0625,0.3125,0,0,0.25,0.0625,0.1875
0,0,37,5,213,20,0.05,0.05,0,0.9,0,0,0,0,0
0,0,37,8,234,14,0,0,0,0.714285714,0,0,0,0.071428571,0.214285714
1,0.5,38,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,0.5,38,1,185,7,0,0.285714286,0,0.285714286,0,0.142857143,0,0.142857143,0.142857143
1,0.5,38,5,213,20,0,0.55,0,0.1,0,0,0,0.3,0.05
1,0.5,38,8,234,20,0,0.55,0,0.15,0,0,0,0.3,0
1,0.5,39,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,0.5,39,1,185,3,0,0.333333333,0,0.666666667,0,0,0,0,0
1,0.5,39,5,213,20,0,0.263157895,0,0.263157895,0,0.052631579,0,0.421052632,0
1,0.5,39,8,234,20,0,0.55,0,0,0,0.05,0,0.4,0
1,0.5,40,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,0.5,40,1,185,4,0,0.25,0,0.25,0,0.25,0.25,0,0
1,0.5,40,5,213,20,0,0.1,0,0.15,0,0,0,0.25,0.5
1,0.5,40,8,234,20,0,0,0,0.05,0,0,0,0.95,0
0,1,41,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,1,41,1,185,3,0,0.333333333,0,0,0,0,0.333333333,0,0.333333333
0,1,41,8,234,12,0,1,0,0,0,0,0,0,0
0,1,42,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,1,42,1,185,6,0,0,0,0,0,0.166666667,0,0,0.833333333
0,1,43,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,1,43,1,185,1,0,0,0,0,0,1,0,0,0
0,1,43,8,234,2,0,1,0,0,0,0,0,0,0
1,0,44,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,0,44,1,185,2,0,0,0,0,0,0,0.5,0.5,0
1,0,44,5,213,8,0,0,0,0,0,0,0,0.5,0.5
1,0,44,8,234,10,0,0,0,0,0,0,0,0.5,0.5
1,0,45,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,0,45,5,213,14,0,0.357142857,0,0.142857143,0,0,0,0.357142857,0.142857143
1,0,45,8,234,20,0,0,0,0,0,0,0,0.9,0.1
1,0,46,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,0,46,1,185,6,0,0.166666667,0,0.166666667,0,0,0.166666667,0,0.5
1,0,46,5,213,20,0,0,0,0,0,0,0,0.7,0.3
1,0,46,8,234,20,0,0,0,0,0,0,0,0.545454545,0.454545455
0,0.1,47,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,0.1,47,1,185,2,0,0,0,0.5,0,0,0,0,0.5
0,0.1,47,5,213,11,0,0,0,0,0,0.090909091,0.090909091,0.272727273,0.545454545
0,0.1,47,8,234,16,0,0,0,0.125,0,0,0.0625,0.3125,0.5
0,0.1,48,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,0.1,48,1,185,7,0,0.142857143,0,0,0.142857143,0,0.142857143,0.285714286,0.285714286
0,0.1,48,5,213,2,0,0,0,0,0,0,0,0.5,0.5
0,0.1,48,8,234,8,0,0.125,0,0,0,0,0,0.875,0
0,0.1,49,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0,0.1,49,1,185,6,0,0,0.166666667,0.166666667,0,0.5,0.166666667,0,0
0,0.1,49,5,213,17,0.055555556,0.055555556,0.055555556,0,0,0.222222222,0,0.444444444,0.166666667
0,0.1,49,8,234,8,0,0,0,0.125,0,0,0.125,0.375,0.375
1,1,50,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,1,50,1,185,2,0,0,0,0.5,0,0,0,0.5,0
1,1,50,5,213,5,0,0.2,0.2,0,0,0,0,0.2,0.4
1,1,50,8,234,20,0,0.05,0,0,0,0.05,0,0.5,0.4
1,1,51,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,1,51,8,234,4,0,1,0,0,0,0,0,0,0
1,1,52,-1,171,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
1,1,52,5,213,15,0,0.733333333,0,0.266666667,0,0,0,0,0
1,1,52,8,234,19,0,0.263157895,0,0.736842105,0,0,0,0,0