time,tank,treatment,sampleday,metsch,chaoborus,adultsinfected,adultsnotinfected,juvenilesinfected,juvenilesnotinfected,adultsinfectedadjusted,adultsnotinfectedadjusted,juvenilesinfectedadjusted,juvenilesnotinfectedadjusted,totaldensity,lndensity,logone,adultdensity,juveniledensity,propinfected,densityinfected,lndensityinfected,infectedlnone,propadults
0,1,MLC,Monday,Parasites,0.1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,2,NMLC,Monday,No Parasites,0.1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,3,NMLC,Monday,No Parasites,0.1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,4,NMHC,Monday,No Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,5,NMHC,Monday,No Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,6,NMHC,Monday,No Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,7,M-C,Monday,Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,8,M-C,Monday,Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,9,M-C,Monday,Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,10,MHC,Monday,Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,11,MHC,Monday,Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,12,MHC,Monday,Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,13,NM-C,Monday,No Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,14,NM-C,Monday,No Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,15,NM-C,Monday,No Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,16,MMC,Monday,Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,17,MMC,Monday,Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,18,MMC,Monday,Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,19,NMMC,Monday,No Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,20,NMMC,Monday,No Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,21,NMMC,Monday,No Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,23,MLC,Monday,Parasites,0.1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,24,MLC,Monday,Parasites,0.1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,27,NMMC,Thursday,No Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,28,NMMC,Thursday,No Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,29,NMMC,Thursday,No Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,30,MLC,Thursday,Parasites,0.1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,31,MLC,Thursday,Parasites,0.1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,32,MLC,Thursday,Parasites,0.1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,35,NM-C,Thursday,No Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,36,NM-C,Thursday,No Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,37,NM-C,Thursday,No Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,38,MMC,Thursday,Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,39,MMC,Thursday,Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,40,MMC,Thursday,Parasites,0.5,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,41,NMHC,Thursday,No Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,42,NMHC,Thursday,No Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,43,NMHC,Thursday,No Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,44,M-C,Thursday,Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,45,M-C,Thursday,Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,46,M-C,Thursday,Parasites,0,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,47,NMLC,Thursday,No Parasites,0.1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,48,NMLC,Thursday,No Parasites,0.1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,49,NMLC,Thursday,No Parasites,0.1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,50,MHC,Thursday,Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,51,MHC,Thursday,Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
0,52,MHC,Thursday,Parasites,1,0,7.2,0,7.2,0,7.2,0,7.2,14.4,2.667228207,2.734367509,7.2,7.2,0,0,0,0,0.5
1,1,MLC,Monday,Parasites,0.1,0,6,0,50,0,6,0,50,56,4.025351691,4.043051268,6,50,0,0,0,0,0.107142857
1,2,NMLC,Monday,No Parasites,0.1,0,5,0,71,0,5,0,71,76,4.33073334,4.343805422,5,71,0,0,0,0,0.065789474
1,3,NMLC,Monday,No Parasites,0.1,0,9,0,50,0,9,0,50,59,4.077537444,4.094344562,9,50,0,0,0,0,0.152542373
1,4,NMHC,Monday,No Parasites,1,0,11,0,44,0,11,0,44,55,4.007333185,4.025351691,11,44,0,0,0,0,0.2
1,5,NMHC,Monday,No Parasites,1,0,2,0,7,0,2,0,7,9,2.197224577,2.302585093,2,7,0,0,0,0,0.222222222
1,6,NMHC,Monday,No Parasites,1,0,9,0,82,0,9,0,82,91,4.510859507,4.521788577,9,82,0,0,0,0,0.098901099
1,7,M-C,Monday,Parasites,0,0,6,0,46,0,6,0,46,52,3.951243719,3.970291914,6,46,0,0,0,0,0.115384615
1,8,M-C,Monday,Parasites,0,0,12,0,154,0,12,0,154,166,5.111987788,5.117993812,12,154,0,0,0,0,0.072289157
1,9,M-C,Monday,Parasites,0,0,4,0,26,0,4,0,26,30,3.401197382,3.433987204,4,26,0,0,0,0,0.133333333
1,10,MHC,Monday,Parasites,1,0,12,0,28,0,12,0,28,40,3.688879454,3.713572067,12,28,0,0,0,0,0.3
1,11,MHC,Monday,Parasites,1,0,1,0,5,0,1,0,5,6,1.791759469,1.945910149,1,5,0,0,0,0,0.166666667
1,12,MHC,Monday,Parasites,1,0,5,0,30,0,5,0,30,35,3.555348061,3.583518938,5,30,0,0,0,0,0.142857143
1,13,NM-C,Monday,No Parasites,0,0,9,0,78,0,9,0,78,87,4.465908119,4.477336814,9,78,0,0,0,0,0.103448276
1,14,NM-C,Monday,No Parasites,0,0,10,0,72,0,10,0,72,82,4.406719247,4.418840608,10,72,0,0,0,0,0.12195122
1,15,NM-C,Monday,No Parasites,0,0,2,0,61,0,2,0,61,63,4.143134726,4.158883083,2,61,0,0,0,0,0.031746032
1,16,MMC,Monday,Parasites,0.5,0,12,0,59,0,12,0,59,71,4.262679877,4.276666119,12,59,0,0,0,0,0.169014085
1,17,MMC,Monday,Parasites,0.5,0,1,0,14,0,1,0,14,15,2.708050201,2.772588722,1,14,0,0,0,0,0.066666667
1,18,MMC,Monday,Parasites,0.5,0,8,0,42,0,8,0,42,50,3.912023005,3.931825633,8,42,0,0,0,0,0.16
1,19,NMMC,Monday,No Parasites,0.5,0,2,0,50,0,2,0,50,52,3.951243719,3.970291914,2,50,0,0,0,0,0.038461538
1,20,NMMC,Monday,No Parasites,0.5,0,8,0,36,0,8,0,36,44,3.784189634,3.80666249,8,36,0,0,0,0,0.181818182
1,21,NMMC,Monday,No Parasites,0.5,0,8,0,30,0,8,0,30,38,3.63758616,3.663561646,8,30,0,0,0,0,0.210526316
1,23,MLC,Monday,Parasites,0.1,0,6,0,78,0,6,0,78,84,4.430816799,4.442651256,6,78,0,0,0,0,0.071428571
1,24,MLC,Monday,Parasites,0.1,0,7,0,32,0,7,0,32,39,3.663561646,3.688879454,7,32,0,0,0,0,0.179487179
1,27,NMMC,Thursday,No Parasites,0.5,0,1,0,41,0,1,0,41,42,3.737669618,3.761200116,1,41,0,0,0,0,0.023809524
1,28,NMMC,Thursday,No Parasites,0.5,0,12,0,41,0,12,0,41,53,3.970291914,3.988984047,12,41,0,0,0,0,0.226415094
1,29,NMMC,Thursday,No Parasites,0.5,0,11,0,48,0,11,0,48,59,4.077537444,4.094344562,11,48,0,0,0,0,0.186440678
1,30,MLC,Thursday,Parasites,0.1,0,8,0,111,0,8,0,111,119,4.779123493,4.787491743,8,111,0,0,0,0,0.067226891
1,31,MLC,Thursday,Parasites,0.1,0,10,0,113,0,10,0,113,123,4.812184355,4.820281566,10,113,0,0,0,0,0.081300813
1,32,MLC,Thursday,Parasites,0.1,0,4,0,81,0,4,0,81,85,4.442651256,4.454347296,4,81,0,0,0,0,0.047058824
1,35,NM-C,Thursday,No Parasites,0,0,12,0,52,0,12,0,52,64,4.158883083,4.17438727,12,52,0,0,0,0,0.1875
1,36,NM-C,Thursday,No Parasites,0,0,9,0,55,0,9,0,55,64,4.158883083,4.17438727,9,55,0,0,0,0,0.140625
1,37,NM-C,Thursday,No Parasites,0,0,16,0,84,0,16,0,84,100,4.605170186,4.615120517,16,84,0,0,0,0,0.16
1,38,MMC,Thursday,Parasites,0.5,3,3,0,34,3,3,0,34,40,3.688879454,3.713572067,6,34,0.075,3,1.098612289,1.386294361,0.15
1,39,MMC,Thursday,Parasites,0.5,0,3,0,4,0,3,0,4,7,1.945910149,2.079441542,3,4,0,0,0,0,0.428571429
1,40,MMC,Thursday,Parasites,0.5,0,4,0,13,0,4,0,13,17,2.833213344,2.890371758,4,13,0,0,0,0,0.235294118
1,41,NMHC,Thursday,No Parasites,1,0,3,0,3,0,3,0,3,6,1.791759469,1.945910149,3,3,0,0,0,0,0.5
1,42,NMHC,Thursday,No Parasites,1,0,6,0,8,0,6,0,8,14,2.63905733,2.708050201,6,8,0,0,0,0,0.428571429
1,43,NMHC,Thursday,No Parasites,1,0,1,0,2,0,1,0,2,3,1.098612289,1.386294361,1,2,0,0,0,0,0.333333333
1,44,M-C,Thursday,Parasites,0,0,2,0,30,0,2,0,30,32,3.465735903,3.332701261,2,30,0,0,0,0,0.0625
1,45,M-C,Thursday,Parasites,0,0,0,0,27,0,0,0,27,27,3.295836866,3.311384224,0,27,0,0,0,0,0
1,46,M-C,Thursday,Parasites,0,0,6,0,50,0,6,0,50,56,4.025351691,3.290067188,6,50,0,0,0,0,0.107142857
1,47,NMLC,Thursday,No Parasites,0.1,0,3,0,23,0,3,0,23,26,3.258096538,3.268750151,3,23,0,0,0,0,0.115384615
1,48,NMLC,Thursday,No Parasites,0.1,0,7,0,18,0,7,0,18,25,3.218875825,3.247433114,7,18,0,0,0,0,0.28
1,49,NMLC,Thursday,No Parasites,0.1,0,6,0,22,0,6,0,22,28,3.33220451,3.226116077,6,22,0,0,0,0,0.214285714
1,50,MHC,Thursday,Parasites,1,1,1,0,1,1,1,0,1,3,1.098612289,3.20479904,2,1,0.333333333,1,0,0.693147181,0.666666667
1,51,MHC,Thursday,Parasites,1,0,0,0,1,0,0,0,1,1,0,3.183482003,0,1,0,0,0,0,0
1,52,MHC,Thursday,Parasites,1,0,0,0,1,0,0,0,1,1,0,3.162164966,0,1,0,0,0,0,0
2,1,MLC,Monday,Parasites,0.1,0,9,1,22,0,9,1,22,32,3.465735903,3.496507561,9,23,0.03125,1,0,0.693147181,0.28125
2,2,NMLC,Monday,No Parasites,0.1,0,6,0,27,0,6,0,27,33,3.496507561,3.526360525,6,27,0,0,0,0,0.181818182
2,3,NMLC,Monday,No Parasites,0.1,0,5,0,33,0,5,0,33,38,3.63758616,3.663561646,5,33,0,0,0,0,0.131578947
2,4,NMHC,Monday,No Parasites,1,0,2,0,1,0,2,0,1,3,1.098612289,1.386294361,2,1,0,0,0,0,0.666666667
2,5,NMHC,Monday,No Parasites,1,0,0,0,1,0,0,0,1,1,0,0.693147181,0,1,0,0,0,0,0
2,6,NMHC,Monday,No Parasites,1,0,1,0,1,0,1,0,1,2,0.693147181,1.098612289,1,1,0,0,0,0,0.5
2,7,M-C,Monday,Parasites,0,0,2,0,3,0,2,0,3,5,1.609437912,1.791759469,2,3,0,0,0,0,0.4
2,8,M-C,Monday,Parasites,0,0,4,0,32,0,4,0,32,36,3.583518938,3.610917913,4,32,0,0,0,0,0.111111111
2,9,M-C,Monday,Parasites,0,1,8,0,41,1,8,0,41,50,3.912023005,3.931825633,9,41,0.02,1,0,0.693147181,0.18
2,10,MHC,Monday,Parasites,1,0,0,0,1,0,0,0,1,1,0,0.693147181,0,1,0,0,0,0,0
2,11,MHC,Monday,Parasites,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12,MHC,Monday,Parasites,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13,NM-C,Monday,No Parasites,0,0,18,0,51,0,18,0,51,69,4.234106505,4.248495242,18,51,0,0,0,0,0.260869565
2,14,NM-C,Monday,No Parasites,0,0,2,0,14,0,2,0,14,16,2.772588722,2.833213344,2,14,0,0,0,0,0.125
2,15,NM-C,Monday,No Parasites,0,0,4,0,17,0,4,0,17,21,3.044522438,3.091042453,4,17,0,0,0,0,0.19047619
2,16,MMC,Monday,Parasites,0.5,1,22,1,24,1,22,1,24,48,3.871201011,3.891820298,23,25,0.041666667,2,0.693147181,1.098612289,0.479166667
2,17,MMC,Monday,Parasites,0.5,0,5,3,3,0,5,3,3,11,2.397895273,2.48490665,5,6,0.272727273,3,1.098612289,1.386294361,0.454545455
2,18,MMC,Monday,Parasites,0.5,1,9,0,11,1,9,0,11,21,3.044522438,3.091042453,10,11,0.047619048,1,0,0.693147181,0.476190476
2,19,NMMC,Monday,No Parasites,0.5,0,6,0,10,0,6,0,10,16,2.772588722,2.833213344,6,10,0,0,0,0,0.375
2,20,NMMC,Monday,No Parasites,0.5,0,3,0,13,0,3,0,13,16,2.772588722,2.833213344,3,13,0,0,0,0,0.1875
2,21,NMMC,Monday,No Parasites,0.5,0,14,0,34,0,14,0,34,48,3.871201011,3.891820298,14,34,0,0,0,0,0.291666667
2,23,MLC,Monday,Parasites,0.1,0,6,0,51,0,6,0,51,57,4.043051268,4.060443011,6,51,0,0,0,0,0.105263158
2,24,MLC,Monday,Parasites,0.1,0,1,0,19,0,1,0,19,20,2.995732274,3.044522438,1,19,0,0,0,0,0.05
2,27,NMMC,Thursday,No Parasites,0.5,0,12,0,26,0,12,0,26,38,3.63758616,3.663561646,12,26,0,0,0,0,0.315789474
2,28,NMMC,Thursday,No Parasites,0.5,0,13,0,22,0,13,0,22,35,3.555348061,3.583518938,13,22,0,0,0,0,0.371428571
2,29,NMMC,Thursday,No Parasites,0.5,0,3,0,14,0,3,0,14,17,2.833213344,2.890371758,3,14,0,0,0,0,0.176470588
2,30,MLC,Thursday,Parasites,0.1,0,3,0,46,0,3,0,46,49,3.891820298,3.912023005,3,46,0,0,0,0,0.06122449
2,31,MLC,Thursday,Parasites,0.1,0,13,0,36,0,13,0,36,49,3.891820298,3.912023005,13,36,0,0,0,0,0.265306122
2,32,MLC,Thursday,Parasites,0.1,0,0,0,6,0,0,0,6,6,1.791759469,1.945910149,0,6,0,0,0,0,0
2,35,NM-C,Thursday,No Parasites,0,0,5,0,25,0,5,0,25,30,3.401197382,3.433987204,5,25,0,0,0,0,0.166666667
2,36,NM-C,Thursday,No Parasites,0,0,5,0,27,0,5,0,27,32,3.465735903,3.496507561,5,27,0,0,0,0,0.15625
2,37,NM-C,Thursday,No Parasites,0,0,2,0,36,0,2,0,36,38,3.63758616,3.663561646,2,36,0,0,0,0,0.052631579
2,38,MMC,Thursday,Parasites,0.5,0,10,0,36,0,10,0,36,46,3.828641396,3.850147602,10,36,0,0,0,0,0.217391304
2,39,MMC,Thursday,Parasites,0.5,0,12,0,20,0,12,0,20,32,3.465735903,3.496507561,12,20,0,0,0,0,0.375
2,40,MMC,Thursday,Parasites,0.5,0,5,0,8,0,5,0,8,13,2.564949357,2.63905733,5,8,0,0,0,0,0.384615385
2,41,NMHC,Thursday,No Parasites,1,0,2,0,0,0,2,0,0,2,0.693147181,1.098612289,2,0,0,0,0,0,1
2,42,NMHC,Thursday,No Parasites,1,0,0,0,3,0,0,0,3,3,1.098612289,1.386294361,0,3,0,0,0,0,0
2,43,NMHC,Thursday,No Parasites,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,44,M-C,Thursday,Parasites,0,0,0,0,22,0,0,0,22,22,3.091042453,3.135494216,0,22,0,0,0,0,0
2,45,M-C,Thursday,Parasites,0,0,14,0,21,0,14,0,21,35,3.555348061,3.583518938,14,21,0,0,0,0,0.4
2,46,M-C,Thursday,Parasites,0,0,14,0,NA,0,14,0,NA,14,2.63905733,2.708050201,14,0,0,0,0,0,1
2,47,NMLC,Thursday,No Parasites,0.1,0,1,0,13,0,1,0,13,14,2.63905733,2.708050201,1,13,0,0,0,0,0.071428571
2,48,NMLC,Thursday,No Parasites,0.1,0,3,0,7,0,3,0,7,10,2.302585093,2.397895273,3,7,0,0,0,0,0.3
2,49,NMLC,Thursday,No Parasites,0.1,0,12,0,22,0,12,0,22,34,3.526360525,3.555348061,12,22,0,0,0,0,0.352941176
2,50,MHC,Thursday,Parasites,1,0,0,0,1,0,0,0,1,1,0,0.693147181,0,1,0,0,0,0,0
2,51,MHC,Thursday,Parasites,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,52,MHC,Thursday,Parasites,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,MLC,Monday,Parasites,0.1,4,14,0,49,2,7,0,24.5,33.5,3.511545439,3.540959324,9,24.5,0.059701493,2,0.693147181,1.098612289,0.268656716
3,2,NMLC,Monday,No Parasites,0.1,0,21,0,52,0,10.5,0,26,36.5,3.597312261,3.624340933,10.5,26,0,0,0,0,0.287671233
3,3,NMLC,Monday,No Parasites,0.1,0,15,0,76,0,7.5,0,38,45.5,3.817712326,3.839452313,7.5,38,0,0,0,0,0.164835165
3,4,NMHC,Monday,No Parasites,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,NMHC,Monday,No Parasites,1,0,3,0,5,0,1.5,0,2.5,4,1.386294361,1.609437912,1.5,2.5,0,0,0,0,0.375
3,6,NMHC,Monday,No Parasites,1,0,1,0,3,0,0.5,0,1.5,2,0.693147181,1.098612289,0.5,1.5,0,0,0,0,0.25
3,7,M-C,Monday,Parasites,0,0,36,0,98,0,18,0,49,67,4.204692619,4.219507705,18,49,0,0,0,0,0.268656716
