tank,metsch,chaoborus,integration
1,Metsch,0.1,21.32901742
2,No Metsch,0.1,27.12436519
3,No Metsch,0.1,23.07144724
4,No Metsch,1,12.80437724
5,No Metsch,1,20.02608878
6,No Metsch,1,16.63292175
7,Metsch,0,24.16251111
8,Metsch,0,26.75384429
9,Metsch,0,24.23104801
10,Metsch,1,1.163638853
11,Metsch,1,1.378420183
12,Metsch,1,1.791759469
13,No Metsch,0,28.51623081
14,No Metsch,0,27.22178712
15,No Metsch,0,24.51299482
16,Metsch,0.5,25.14597799
17,Metsch,0.5,22.61801958
18,Metsch,0.5,23.86620427
19,No Metsch,0.5,23.41414012
20,No Metsch,0.5,25.15964867
21,No Metsch,0.5,28.40500382
22,No Metsch,0.1,24.60318797
23,Metsch,0.1,25.9208569
24,Metsch,0.1,25.30051856
27,No Metsch,0.5,27.43022099
28,No Metsch,0.5,28.33065442
29,No Metsch,0.5,26.4441826
30,Metsch,0.1,27.34240902
31,Metsch,0.1,25.26138988
32,Metsch,0.1,23.20257831
35,No Metsch,0,27.93804537
36,No Metsch,0,27.24533248
37,No Metsch,0,27.00791872
38,Metsch,0.5,26.60285638
39,Metsch,0.5,22.86858976
40,Metsch,0.5,26.82982366
41,No Metsch,1,9.707815537
42,No Metsch,1,3.838931752
43,No Metsch,1,5.319847112
44,Metsch,0,22.97668322
45,Metsch,0,24.42868298
46,Metsch,0,22.53527216
47,No Metsch,0.1,23.29816175
48,No Metsch,0.1,17.2349804
49,No Metsch,0.1,27.16065966
50,Metsch,1,16.05718884
51,Metsch,1,11.89888473
52,Metsch,1,14.70438498